,Stock,Bollinger Band,Keltner Channel,Moving Average Envelope,Price Channel,Parabolic SAR
690,./stocks/DJCO.csv,9876.79077651,9096.31085251,10771.2707565,7744.759442,8266.09247733
691,./stocks/DLBL.csv,9695.53323484,11382.6233913,9563.95323284,9469.460032,9486.01636811
692,./stocks/DLBS.csv,10064.5870173,11884.6473723,10827.7366243,13963.938901,9402.57111212
693,./stocks/DLPN.csv,-1830.87,-3026.79,-1852.89,-3656.46,878.53601593
694,./stocks/DLTH.csv,8455.87500905,8047.37499805,7065.48511405,10900.34004,7250.74803858
695,./stocks/DLTR.csv,13167.0345732,12386.5544922,12492.8734454,10571.550126,12324.0251571
696,./stocks/DMLP.csv,10075.0708002,9975.92079624,10117.9609732,11350.181604,9399.17050423
697,./stocks/DMPI.csv,2735.63819219,1400.05419219,5288.85419219,-8122.843,3484.09109685
698,./stocks/DMRC.csv,10163.8786735,10074.5285795,10477.3284805,12672.949758,9007.1034818
699,./stocks/DNBF.csv,12587.8635698,12841.6636938,12743.3637498,11849.950351,12082.9288773
700,./stocks/DNKN.csv,11859.8032269,11679.9332079,11878.7334659,11949.480329,11395.9647225
701,./stocks/DORM.csv,10844.2652728,10201.8752878,9957.44525277,11475.010562,9313.99014113
702,./stocks/DOX.csv,11706.933347,11782.013709,11693.243606,10384.419782,11406.4545665
703,./stocks/DRAD.csv,18.6080392157,-1346.37196078,-2832.37196078,-11405.65,3311.36622595
704,./stocks/DRNA.csv,29266.1458249,29136.8358249,36585.0658249,33554.014,36541.9589137
705,./stocks/DRRX.csv,17075.6152239,18095.5152239,23708.7352239,31181.2,17699.6279589
706,./stocks/DRYS.csv,-1046.43933048,43.014161794,1180.56159249,-30606.603594,987.856143922
707,./stocks/DSGX.csv,13818.8266692,13225.5765782,13064.9676491,12051.499976,13561.8553715
708,./stocks/DSKE.csv,7860.89009901,9546.22009901,8955.34009901,10261.13,9196.97623504
709,./stocks/DSLV.csv,9765.71846088,9560.91833088,9054.24867288,16257.86059,8217.77697303
710,./stocks/DSPG.csv,9723.42307692,9860.12307692,9885.67307692,12388.65,9470.89925765
711,./stocks/DSWL.csv,13002.9306145,15468.1006145,14139.7006145,11927.2,16756.9392087
712,./stocks/DTEA.csv,7030.68070866,4887.93070866,5214.75570866,212.25,5270.84811942
713,./stocks/DTRM.csv,9005.10352941,5326.11352941,10327.5256863,3025.15,6158.43463887
714,./stocks/DTUL.csv,11633.7088328,11050.2279965,9504.48726076,9712.930196,9508.12482738
715,./stocks/DTUS.csv,12082.3712813,13203.7312793,12904.4213133,11805.259044,11411.4311916
716,./stocks/DTYL.csv,10186.2644675,10143.4737068,9917.25447752,9907.390263,9877.05108942
717,./stocks/DTYS.csv,12895.7877232,10938.8276382,13413.5475952,12723.230158,10745.3799218
